,movie,overview
75,Ликвидация (сериал),послевоенный одесса разгул преступность в город орудовать банда бывший диверсант в глава с загадочный академик который не знать даже свой бандит грабить военный склад и пытаться переправить продовольствие обмундирование и оружие бандеровец в это время недовольный жуков сталин назначать он командующий одесский округ маршал весь сила пытаться навести в город порядок
76,Городской охотник (сериал),с ранний детство ли юнсон учиться боевой искусство и владение оружие правда о свой родитель он узнать только в 17 год и после тот что он рассказывать он решать изменить себя когда считать что он готовый отправляться в сеул но не для тот чтобы отыскать мать он должный найти пятеро чей решение повлиять когдато на судьба он семья ким нана должный зарабатывать деньга не только для себя но и для обеспечение отец который вот уже 10 год лежать в кома получить место в чхонвадэ она не мочь нарадоваться но кто бы мочь подумать что там она встретить ловелас с который совсем недавно столкнуться на один из подработка
77,Музыкальный блог Доктора Ужасного (мини-сериал),история о суперзлодеенеудачник доктор ужасный который постоянно попадать под раздача супергерой капитан молотый а также нежно и тайно влюбить в девушка из прачечная пэнни
78,Унесённые призраками,тихиро с мама и папа переезжать в новый дом заблудиться по дорога они оказываться в странный пустынный город где они ждать великолепный пир родитель с жадность набрасываться на еда и к ужас девочка превращаться в свинья стать пленник злой колдунья юбаба теперь оказаться один среди волшебный существо и загадочный видение тихиро должный придумать как избавить свой родитель от чара коварный старуха
79,Черное зеркало (сериал 2011 – ...),за последний год технология всесторонне изменить наш жизнь прежде чем мы успеть опомниться и усомниться в они в каждый дом на каждый стол на каждый ладонь плазменный телевизор монитор компьютер дисплей смартфон чёрный зеркало наш существование в xxi век
80,Нана (сериал 2006 – 2007),в вагон один поезд следовать в токио нана комаца ехать к свой парень сёдзь случайно оказаться в кресло рядом с нана осака направляться в столица чтобы исполнить свой желание стать известный певица быть солистка панкгруппа blast нана мечтать о дебют свой группа в токио чтобы доказать себя весь мир и свой парень рэн гитарист популярный группа trapnest что она самостоятельно мочь добиться успех быть тёзка девушка быстро находить общий язык даже несмотря на противоположность характер однако увидеть сёдзь уже в токио нана комаца терять из вид другой нана случайный знакомство в поезд подойти к конец но судьба сводить они снова когда они сталкиваться в квартира который оба хотеть снять слово за слово они решать жить вместе ещё бы ведь и без тот низкий плата за квартира стать в два раз ниже так и начинаться жизненный приключение два девушка с один имя вместе идти навстречу свой мечта
81,Север и Юг (мини-сериал),вырасти в зажиточный семья маргарет вести комфортный жизнь привилегированный класс но когда она отец перевезти семья на север она прийтись приспосабливаться к жизнь в милтон город переживать промышленный революция маргарет ненавидеть новый хозяин жизнь а владелец хлопковый фабрика джон торнтон становиться для она настоящий олицетворение зло маргарет давать понять этот вульгарный выскочка что он хороший держаться от она на расстояние джон же неудержимо влечь к маргарет да и она с время чувствовать всё возрастать симпатия к он
82,Форс-мажоры (сериал 2011 – ...),убегать после неудачный попытка сбыт наркотик юристсамоучка майк росс выдавать себя за выпускник гарвард попадать на собеседование к один из хороший адвокат по сделка ньюйорк харви спектр устать от скучный соискатель мечтать вера и правда служить буква закон харви рисковать и нанимать майк у парень врождённый талант и фотографический память так рождаться один из самый неоднозначный но в то же время и самый блестящий адвокатский тандем на манхеттен
83,Титаник,апрель 1912 год в первый и последний плавание шикарный титаник встречаться двое пассажир нижний палуба джек выиграть билет в карта а богатый наследница роза отправляться в америка чтобы выйти замуж по расчёт чувство молодой человек только успевать расцвести и даже не классовый различие создать испытание влюбить а айсберг встать на путь считаться непотопляемый лайнер
84,Самурай Чамплу (сериал 2004 – 2005),мугэн мечник с повадка брейкдансер вспыльчивый грубый и вечно голодный мужлан дзина благородный хорошо воспитанный ронина чей прошлое скрывать мрачный тайна нет в мир два другой самурай настолько непохожий друг на друг а судьба не только сводить они в поединок но и заставлять присоединиться к фуу целеустремлённый юный особа озаботить поиск таинственный самурай пахнуть подсолнух это история о любовь дружба и мужество или нет
85,Наступит завтра или нет?,действие фильм происходить в ньюйорк весна 2003 год для нэйн капур зима продолжаться зима в сердце потому что с день смерть отец весь жизнь она подчинить бесконечный выяснение отношение в семья забота о сестра и брат помощь мать дженнифер несносный характер бабушка вот она жизнь вечеринка забава и шутка обходить она сторона она 23 год но в душа она уже бабушка серьёзный и скучный аман матхур свежий дуновение в она жизнь он полюбить нейну но она не нравиться оптимизм и напористость аман она улыбка отныне цель жизнь аман и ради это он звать на помощь друг нейны рохит чтобы он помочь растормошить девушка рохит понимать что безумно влюбляться в нейну когда казаться что жизнь заиграть новый краска понимать что для некоторый этот мгновение являться последний наступить завтра или нет
86,Выжить любой ценой (сериал 2006 – 2012),любить природа и путешествие не спешить с ответ сначала попробовать остаться с она один на один в самый неподходящий для лирика условие как это сделать ведущий передача discovery channel выжить любой цена бэр гриллс в прошлый спецназовец sas special air service и покоритель эверест путешествовать по дикий и опасный уголок планета демонстрировать навык выживание в экстремальный условие
87,Хатико: Самый верный друг,однажды возвращаться с работа профессор колледж найти на вокзал симпатичный щенок порода акитаин профессор и хатико стать верный друг каждый день пёс провожать и встречать хозяин на вокзал
88,Пираты Карибского моря: Проклятие Черной жемчужины,жизнь харизматичный авантюрист капитан джек воробей полный увлекательный приключение резко меняться когда он заклятый враг капитан барбосс похищать корабль джек чёрный жемчужина а затем нападать на порт ройать и красть прекрасный дочь губернатор элизабет свонна друг детство элизабет уилла тернер вместе с джек возглавлять спасательный экспедиция на сам быстрый корабль британия чтобы вызволить девушка и заодно отобрать у злодей чёрный жемчужина вслед за этот парочка отправляться амбициозный коммодор норрингтон который к тот же числиться жених элизабет однако уилла не знать что над барбосса висеть вечный проклятие при лунный свет превращать он с команда в живой скелет проклятие быть снятой лишь тогда когда украсть золото ацтек быть возвратить пират на старое место
89,Аббатство Даунтон (сериал 2010 – 2015),1912 год англия наследник титул граф грэнтэма жить с семья в свой родовой имение даунтон погибать на титаник семья ожидать что теперь когда наследник мужской пол не остаться владение и капитал семья после смерть граф перейти к он старший дочь но граф отдать весь свой жизнь свой поместье отказываться отстаивать право юный мэри считать что всё включая немалый капитал он жена должный отойти к наследник он графский титул безвестный дальний родственник
90,Бек (сериал 2004 – 2005),бек это рассказ о простой японский парень 14летний юкио танака который воля судьба встретиться с молодой гитарист рюскэ мина и благодаря талант сила дух простой и открытый характер найти свой место в жизнь обрести друг и встретить любовь это рассказ о поиск путь самовыражение на который искренность и честность приносить радость а злоба и лицемерие заводить в тупик а ещё это рассказ о встреча непростой человек который суметь создать и сохранить рокгруппа то самый целое который куда большой сумма слагаемое именно так и рождаться настоящий музыка именно так выйти один из хороший музыкальный аниме весь время
91,Балто,наполовину лайк наполовину волк балтый и сам не знать кто он такой на сам дело весь гонимый бродяга в ледяной пустыня аляска только он друг русский полярный гусь борис медвежонок мак и лак и красавицалайка дженна уверить что хотя он и не такой как всё но в он грудь биться благородный сердце однажды случаться несчастие эпидемия дифтерия охватить ребёнок небольшой посёлок а свирепый вьюга сделать непроходимый всё дорога лишь собачий упряжка мочь преодолеть шестьсот миля через ослеплять арктический шторм и привезти спасительный лекарство но собака сбиться с дорога гдеть на замёрзнуть простор теперь только балтый мочь найти упряжка и спасти ребёнок а заодно стать герой и настоящий легенда
92,Физика или химия (сериал 2008 – 2011),группа молодой преподаватель поступать на работа в колледж cурбаран там они открыть для себя целый вселенная конфликт любовь ненависть и мечтание группа подросток для который должный стать наставник молодой преподаватель на протяжение серия понять что самый хороший способ учить это учиться сам
93,Одержимость,эндрю мечтать стать великий казаться бы вотвота он мечта осуществиться юноша замечать настоящий гений дирижёр хороший в страна оркестр желание эндрю добиться успех быстро становиться одержимость а безжалостный наставник продолжать подталкивать он всё далёкий и далёкий за предел человеческий возможность кто выйти победитель из этот схватка
94,Декстер (сериал 2006 – 2013),я декстер декстер морган я работать судмедэксперт в полиция майами я не понимать любовь я безразличный секс и у я нет чувство а ещё я серийный убийца мой отец быть полицейский и прекрасно обучить я прятать улика обычный гражданин не стоить я бояться я убивать только преступник подонок до который почемулибо не смочь или не захотеть добраться полиция я убивать они аккуратно распиливать на часть и избавляться от труп убийство для я творческий акт искусство но однажды в майами появляться некто равный я даже превзойти я суметь я заинтересовать предложить я свой род товарищеский состязание кто этот загадочный и неуловимый икс
95,Хористы,франция 1949 год отчаяться найти работа учитель музыка клемент матья попадать в интернат для трудный подросток там он видеть к какой жестокий воспитательный мера прибегать ректор это заведение рашан чем большой издеваться рашан над мальчик тем агрессивный они становиться добродушный по натура матья возмущать этот метод но он не в состояние открыто протестовать но однажды он автор многочисленный музыкальный произведение который он скромно прятать в свой комната приходить в голова замечательный идея организовать школьный хор
96,Спартак: Боги арены (сериал),мы показываться время когда батиат взять у свой отец узда правление в свой рука он активно тренировать гладиатор стремиться принести слава свой дом с свой красивый и коварный жена лукреция он не остановиться ни перед чем пытаться занести свой имя в история батиат сосредотачивать свой усилие на плутоватый гладиатор ганник человек умение который обращаться с меч непревзойдённый он всегда сражаться так как будто это он последний бой
97,Семь,детектив уильям сомерсет ветеран уголовный розыск мечтать уйти на пенсия и уехать далёкий от город и он грешный обитатель за семь день до пенсия на сомерсет сваливаться два неприятность молодой напарник миллс и особо изощрённый убийство острый ум опытный следователь сразу определять что за это преступление скорее весь последовать другой
98,Сверхъестественное (сериал 2005 – ...),сериал рассказывать о приключение брат сэм и дин винчестер который путешествовать по соединить штат на чёрный автомобиль chevrolet impala 1967 год расследовать паранормальный явление многие из который основать на американский городской легенда и фольклор и сражаться с порождение зло такой как демон и призрак
99,ВАЛЛ·И,робот валли из год в год прилежно трудиться на опустеть земля очищать наш планета от гора мусор который оставить после себя улететь в космос человек он и не представлять что совсем скоро произойти невероятный событие благодаря который он встретить друг подняться к звезда и даже суметь изменить к хороший свой бывший хозяин совсем позабыть родный земля
100,Терминатор 2: Судный день,пройти более десять год с тот пора как киборг из 2029 год пытаться уничтожить сара коннора женщина чей будущий сын выиграть война человечество против машина теперь у сара родиться сын джон и время когда он повести за себя выжить человек на борьба с машина неумолимо приближаться именно в этот момент из постапокалиптический будущее прибывать новый терминатор практически неуязвимый модель t1000 способный принимать любой обличие цель новый терминатор уже не сара а уничтожение молодой джон коннора однако шанс джон на спасение существенно повышаться когда на помощь приходить перепрограммировать сопротивление терминатор предыдущий поколение оба киборг вступать в смертельный бой от исход который зависеть судьба человечество
101,Мастер Муси (сериал 2005 – 2006),считаться что за предел наш мир есть существо полностью отличный от тот растение и животное что мы знакомый человек бояться этот странный создание с древний время и с тот давний пора стать называть они муся также есть и человек изучать этот загадочный существо главный герой аниме мусися специалист по муся гинко он обладать особый возможность который позволять он видеть и чувствовать муся путешествовать без какойлибо конкретный цель гинко всегда готовый помочь нуждаться в немой человек
102,Черная лагуна (сериал 2007 – 2010),в школеинтернат чёрный лагуна учиться ребёнок самый влиятельный семья испания начинаться новый учебный год и в интернат приходить двое новый ученик семнадцатилетний маркос и он маленький сестра паула они родитель пропасть без вести и хотя всё считать они погибший ребёнок верить в то что они всетаки вернуться в этот же интернат на работа горничная устраиваться девушка мария сбежать из психиатрический клиника она разыскивать свой сын который у она похитить много год назад она стать известно что он учиться в это интернат лес в который расположить школаинтернат таить в себя немало загадка таинственный образ оттуда исчезать человек лес населить мифический животное а ночью там происходить и вовсе немыслимый вещь
103,Красавица и чудовище,в заколдованный замок скрыть в тёмный лес жить ужасный чудовище растопить лёд в он сердце и вернуть он человеческий облик снять заклятие мочь только прекрасный девушка который полюбить он такой какой он есть
104,Храброе сердце,действие фильм начинаться в 1280 год в шотландия это история легендарный национальный герой уильям уоллес посвятить себя борьба с англичанин при король эдвард длинноногий он рано лишиться отец погибший от рука англичанин и он забрать к себя дядя оргайла который дать он хороший образование в европа на родина уильям возвращаться уже взрослый человек мечтать завести семья и жить мирный жизнь но судьба распорядиться иначе он невеста убить англичанин и он начать свой крестовый поход за свобода
105,Спартак: Кровь и песок (сериал 2010 – 2013),спартак кровь и песок это жёсткий и выразительный рассказ о сам знаменитый из римский гладиатор спартак разлучить с любовь весь он жизнь и заставить выходить на арена где смерть хороший развлечение для толпа спартак должный бороться за выживание подружиться с враг и усвоить политика новый мир жестокость секс и слава он быть соблазнять власть и изводить месть но он страсть дать он сила преодолеть всё испытание в этот история о смерть честь и стойкость
106,Ходячий замок,злой ведьма заточить 18летний софи в тело старуха девушкабабушка бежать из город куда глаз глядеть и встречать удивительный дом на ножка где знакомиться с могущественный волшебник хаул и демон кальцифер кальцифер должный служить хаул по договор условие который он не мочь разглашать девушка и демон решать помочь друг друг избавиться от злой чара
107,Наследники (сериал),история о группа привилегированный школьник ребёнок мировой элита они расти знать что в будущее встать в глава родительский бизнес они жизнь течь по наметить русло лишь один вне власть и сам будущий бизнесмен и даже они всемогущий родитель любовь
108,Пустая корона (мини-сериал),цикл экранизация исторический пьеса уильям шекспир от телеканал ввс two под общий название пустой корона в цикл входить фильм ричард ii генрих iv часть 1 генрих iv часть 2 и генрих v история о семья политика и власть сериал рассказывать о взлёт и падение три король и о тот как они судьба формировать история ричард ii тщеславный самодовольный человек править нимало не заботиться о благосостояние поддать в конечный итог он свергать он кузен болингброк взойти на престол как генрих iv царствование генрих омрачить чувство вина изз смерть ричард гражданский война и опасение за сын хэла когда хэл восходить на престол как генрих v он оставаться только похоронить в прошлый призрак отец и бороться с свой собственный демон
109,Вторжение титанов (сериал),уже многие год человечество вести борьба с титан огромный существо который не обладать особый интеллект зато есть человек и получать от это удовольствие после продолжительный борьба остаток человечество построить высокий стена окружить страна человек через который титан пройти не мочь с тот пора пройти сто год человек мирно жить под защита стена но однажды подросток эрен и микас становиться свидетель страшный событие участок стена разрушаться супертитан появиться прямо из воздух титан нападать на город и ребёнок в ужас видеть как один из монстр заживо съедать мать эрен мальчик клясться что убить весь титан и отомстить за человечество
110,Дневник памяти,это история отношение юноша и девушка из разный социальный слой жить в южный каролина ной и элли провести вместе незабываемый лето пока они не разделить вначале родитель а затем второй мировой война после война всё измениться элли обручиться с удачливый бизнесмен а ной жить наедине с свой воспоминание в старинный дом который он удаться отреставрировать когда элли прочесть о это в местный газета она понять она нужно найти он и решить наконец судьба они любовь
111,В погоне за счастьем,крис гарднер отецодиночка воспитывать пятилетний сын крис из весь сила стараться сделать так чтобы ребёнок расти счастливый работать продавец он не мочь оплатить квартира и они выселять оказаться на улица но не желать сдаваться отец устраиваться стажёр в брокерский компания рассчитывать получить должность специалист только на протяжение стажировка он не быть получать никакой деньга а стажировка длиться 6 месяц
112,Игра,николас ван ортон сам воплощение успех он преуспевать он невозмутимый и спокойный привыкнуть держать любой ситуация под контроль на день рождение николас получать необычный подарок билет для участие в игра он обещать что игра вернуть яркий чувство позволить ощутить вкус и острота жизнь вступить в игра николас начинать осознавать что это игра всерьёз игра не на жизнь а на смерть
113,Таинственный сад (сериал 2010 – 2011),успешный бизнесмен ким джувон умный богатый хороший себя скрытный и высокомерный случайный знакомство с яркий каскадерша вносить сумятица в он размеренный жизнь да и сам она не в восторг от такой чопорный зазнайка они бы прекратить общение но не тутто быть судьба сыграть с они злой шутка поменять они тело
114,Викинги (сериал 2013 – ...),рассказ о отряд викинг рагнара он восстать чтобы стать король племя викинг норвежский легенда гласить что он быть прямой потомок один бог война и воин
115,Изгой,инспектор логистический компания fedex чак ноланда трудоголик у который нет время даже на собственный невеста в время очередной командировка самолёт с ноландом падать в тихий океан чак единственный кто посчастливиться спастись оказываться на необитаемый остров где он прийтись бороться за выживание
116,Шоу Трумана,представить себя что вы вдруг начинать понимать что всё вокруг вы декорация а человек актёр притворяться тот кто они вы казаться весь ваш мир оказываться больший телесериал где вы исполнять главный роль даже не подозревать о это весь ваш жизнь результат работа автор телешоу который вот уже тридцать год смотреть весь планета начинать с момент ваш рождение в такой ситуация оказаться трумать главный герой картина быть ли он продолжать жить в безопасный мир где как он теперь знать у он практически нет свобода выбор или всетаки выйти из игра и стать сам хозяин свой судьба в который он ждать не запланировать сценарий девушка
117,Кот Саймона (сериал 2008 – ...),история о голодный домашний кот который использовать самый изощрённый способ который становиться всё более и более угнетать чтобы заставить хозяин накормить он
118,Рим (сериал 2005 – 2007),действие сериал начинаться в 52 год до нэ когда гай юлий цезарь завоёвывать галлия после восьмилетний война и готовиться возвращаться в рим племянница цезарь атия с тревога ждать он возвращение патриция в отчаяние они бояться что возвращение цезарь нарушить сложиться статускво что благополучие который они построить за счёт плебс быть подорвать в сенат лидер партия патриций убеждать старое друг цезарь помпей великий что цезарь стать угроза для процветание рим в это время два незадачливый легионер люция варить и тит путь затевать авантюра который в случай успех значительно повысить они благосостояние чем близкий легион цезарь продвигаться к рим тем большой расти напряжение между солдат и мирный житель тем близкий к развязка конфликт который навсегда изменить история
119,Меч (сериал),в современный мир многие преступник и член банда не нести наказание за свой деяние человек терять вера в справедливость мы казаться что добиться правосудие просто невозможно так как деньга решать всё но макс калинин не готовый мириться с это после армия он захотеть посвятить свой жизнь борьба с преступность и пойти работать в правоохранительный орган после удачный задержание опасный преступник он начальник просить забыть о провести операция за молчание преступник готовый выложить немалый сумма деньга но макс не намеренный играть по такой правило
120,Секретные материалы (сериал 1993 – ...),агент фбр дан скалли и фокс малдрать поручать работа над проект секретный материал это архив нераскрытый дело связанный с паранормальный явление малдёр верить в пришелец и пытаться убедить скептик скалли что не всё поддаваться разумный объяснение постепенно взаимный недоверие перерастать в дружба и даже в более глубокий чувство
121,Книжный магазин Блэка (сериал 2000 – 2004),black books небольшой книжный магазин в лондон чей хозяин ирландец бернард блэк вероятно один из наименее пригодный к этот работа человек он совершенно не собираться ничего продавать закрывать магазин в любой угодный он время постоянно пьянствовать и издеваться над посетитель в этот нелёгкая занятие он помогать неуклюжий ассистент мэнни и старый знакомый френ работать в магазин по соседство
122,Время приключений (сериал 2010 – ...),волшебный страна ууу финн 13летний мальчик который обожать путешествовать и спасать принцесса из лапа ужасный монстр и злодей населять ууу джейк хороший друг финн это волшебный собака с способность растягивать свой тело до практически любой размер и форма джейк 28 год и он исполнять роль эдакий приятелянаставник финн а он волшебный способность помогать мальчик в он борьба с зло
123,Как приручить дракона,подросток иккинг не слишком близкий традиция он героический племя много год ведущий война с дракон парень неожиданно заводить дружба с дракон беззубик который помочь он и другой викинг увидеть мир с совершенно другой сторона
124,Нокдаун,потерпеть несколько поражение кряду подавать надежда боксёртяжеловес джим брэддок вынудить бросить спорт в время великий депрессия брэддок браться за любой работа чтобы прокормить свой жена мэй и ребёнок при это он всё ещё надеяться вернуться на ринг и однажды он предоставляться такой шанс в последний минута джим заменять другой боксёр и выходить на поединок с претендент на титул чемпион мир
125,Брат,демобилизоваться данил багровый возвращаться в родный городок но скучный жизнь провинция он не устраивать и он отправляться в петербург где по слух уже несколько год процветать он старший брат данил находить брат но всё оказываться не так просто брат работать наёмный убийца
126,Выжить После (сериал 2013 – ...),одиннадцать незнакомый подросток просыпаться в подземный бункер они не знать друг друг и не помнить как сюда попасть но один ясно совершенно точно они необходимо выбираться воздух катастрофически заканчиваться а вода нет и подавно с невероятный усилие проявлять недюжинный смекалка и сообразительность работать в команда герой выбираться на поверхность ожидать что неприятность позади но всё оказываться ещё плохой москва превратиться из процветать столица в нелюдимый пустыня поразить зомбивирус большинство население эвакуировать а тем кто остаться прийтись очень несладко
